Metric		Current
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		46
DUPLICATION_NUMBER_OF_CLEANED_LINES		370
DUPLICATION_PERCENTAGE		12.43
UNIT_DUPLICATES_COUNT		1
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ASMODULE		25
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ASMODULE		25
DUPLICATION_PERCENTAGE_PRIMARY_ASMODULE		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_WHMODULE		15
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_WHMODULE		15
DUPLICATION_PERCENTAGE_PRIMARY_WHMODULE		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_FLOWCONTROLLER		6
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_FLOWCONTROLLER		6
DUPLICATION_PERCENTAGE_PRIMARY_FLOWCONTROLLER		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_AGVMODULE		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_AGVMODULE		0
DUPLICATION_PERCENTAGE_PRIMARY_AGVMODULE		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_GUITEST		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_GUITEST		0
DUPLICATION_PERCENTAGE_PRIMARY_GUITEST		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JAVA		46
DUPLICATION_NUMBER_OF_CLEANED_LINES_JAVA		340
DUPLICATION_PERCENTAGE_JAVA		13.53
TOTAL_ANALYSIS_TIME_IN_MILLIS		722
