Metric		Current
UNIT_SIZE_COMPONENT_AGVMODULE_LOW_RISK_COUNT		7
UNIT_SIZE_COMPONENT_AGVMODULE_MEDIUM_RISK_LOC		58
UNIT_SIZE_COMPONENT_AGVMODULE_MEDIUM_RISK_PERCENTAGE		32.04
UNIT_SIZE_COMPONENT_AGVMODULE_MEDIUM_RISK_COUNT		2
UNIT_SIZE_COMPONENT_AGVMODULE_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_AGVMODULE_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_AGVMODULE_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_AGVMODULE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_AGVMODULE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_AGVMODULE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ASMODULE_NEGLIGIBLE_RISK_LOC		54
UNIT_SIZE_COMPONENT_ASMODULE_NEGLIGIBLE_RISK_PERCENTAGE		43.55
UNIT_SIZE_COMPONENT_ASMODULE_NEGLIGIBLE_RISK_COUNT		13
UNIT_SIZE_COMPONENT_ASMODULE_LOW_RISK_LOC		34
UNIT_SIZE_COMPONENT_ASMODULE_LOW_RISK_PERCENTAGE		27.42
UNIT_SIZE_COMPONENT_ASMODULE_LOW_RISK_COUNT		3
UNIT_SIZE_COMPONENT_ASMODULE_MEDIUM_RISK_LOC		36
UNIT_SIZE_COMPONENT_ASMODULE_MEDIUM_RISK_PERCENTAGE		29.03
UNIT_SIZE_COMPONENT_ASMODULE_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_ASMODULE_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ASMODULE_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ASMODULE_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ASMODULE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ASMODULE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ASMODULE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_NEGLIGIBLE_RISK_LOC		8
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_NEGLIGIBLE_RISK_PERCENTAGE		42.11
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_LOW_RISK_LOC		11
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_LOW_RISK_PERCENTAGE		57.89
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_FLOWCONTROLLER_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_GUITEST_NEGLIGIBLE_RISK_LOC		10
UNIT_SIZE_COMPONENT_GUITEST_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_GUITEST_NEGLIGIBLE_RISK_COUNT		3
UNIT_SIZE_COMPONENT_GUITEST_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_GUITEST_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_GUITEST_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_GUITEST_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_GUITEST_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_GUITEST_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_GUITEST_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_GUITEST_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_GUITEST_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_GUITEST_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_GUITEST_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_GUITEST_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_WHMODULE_NEGLIGIBLE_RISK_LOC		25
UNIT_SIZE_COMPONENT_WHMODULE_NEGLIGIBLE_RISK_PERCENTAGE		51.02
UNIT_SIZE_COMPONENT_WHMODULE_NEGLIGIBLE_RISK_COUNT		5
UNIT_SIZE_COMPONENT_WHMODULE_LOW_RISK_LOC		24
UNIT_SIZE_COMPONENT_WHMODULE_LOW_RISK_PERCENTAGE		48.98
UNIT_SIZE_COMPONENT_WHMODULE_LOW_RISK_COUNT		2
UNIT_SIZE_COMPONENT_WHMODULE_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_WHMODULE_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_WHMODULE_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_WHMODULE_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_WHMODULE_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_WHMODULE_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_WHMODULE_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_WHMODULE_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_WHMODULE_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JAVA_NEGLIGIBLE_RISK_LOC		119
UNIT_SIZE_EXTENSION_JAVA_NEGLIGIBLE_RISK_PERCENTAGE		31.9
UNIT_SIZE_EXTENSION_JAVA_NEGLIGIBLE_RISK_COUNT		25
UNIT_SIZE_EXTENSION_JAVA_LOW_RISK_LOC		160
UNIT_SIZE_EXTENSION_JAVA_LOW_RISK_PERCENTAGE		42.9
UNIT_SIZE_EXTENSION_JAVA_LOW_RISK_COUNT		13
UNIT_SIZE_EXTENSION_JAVA_MEDIUM_RISK_LOC		94
UNIT_SIZE_EXTENSION_JAVA_MEDIUM_RISK_PERCENTAGE		25.2
UNIT_SIZE_EXTENSION_JAVA_MEDIUM_RISK_COUNT		3
UNIT_SIZE_EXTENSION_JAVA_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JAVA_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JAVA_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JAVA_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JAVA_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JAVA_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		10
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		3
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		325
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		84.86
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		42
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		58
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		15.14
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_NEGLIGIBLE_RISK_LOC		123
CONDITIONAL_COMPLEXITY_COMPONENT_AGVMODULE_NEGLIGIBLE_RISK_PERCENTAGE		67.96
